URI,Genre
spotify:track:5eYwDBLucWfWI5KsV7oYX2,singer-songwriter
spotify:track:5eYwDBLucWfWI5KsV7oYX2,soft rock
spotify:track:1yxIWoOd0btwaq4M3BnT0d,alt z
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,belgian dance
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,belgian edm
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,big room
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,dutch house
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,edm
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,electro house
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,pop dance
spotify:track:5ESLeVOGgHR9Hv3TYPEErm,progressive electro house
spotify:track:3oUN1Pu5LMN9Qf377xO4UK,australian dance
spotify:track:3oUN1Pu5LMN9Qf377xO4UK,australian pop
spotify:track:3oUN1Pu5LMN9Qf377xO4UK,pop
spotify:track:0v1fLMHpMqsh6AiAGQ9Dam,brazilian rock
spotify:track:0v1fLMHpMqsh6AiAGQ9Dam,mpb
spotify:track:0v1fLMHpMqsh6AiAGQ9Dam,pop rock brasileiro
spotify:track:0v1fLMHpMqsh6AiAGQ9Dam,rock mineiro
spotify:track:0v1fLMHpMqsh6AiAGQ9Dam,rock nacional brasileiro
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,alternative metal
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,alternative rock
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,classic rock
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,grunge
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,hard rock
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,nu metal
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,post-grunge
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,rock
spotify:track:6gZVQvQZOFpzIy3HblJ20F,alternative metal
spotify:track:6gZVQvQZOFpzIy3HblJ20F,alternative rock
spotify:track:6gZVQvQZOFpzIy3HblJ20F,grunge
spotify:track:6gZVQvQZOFpzIy3HblJ20F,hard rock
spotify:track:6gZVQvQZOFpzIy3HblJ20F,nu metal
spotify:track:6gZVQvQZOFpzIy3HblJ20F,rock
spotify:track:46h2Z0b21xC1gzluNeCiVG,brazilian hip hop
spotify:track:46h2Z0b21xC1gzluNeCiVG,rap df
spotify:track:2fDVMNQmFuMORDD3dP7GkN,alternative metal
spotify:track:2fDVMNQmFuMORDD3dP7GkN,alternative rock
spotify:track:2fDVMNQmFuMORDD3dP7GkN,modern rock
spotify:track:2fDVMNQmFuMORDD3dP7GkN,permanent wave
spotify:track:2fDVMNQmFuMORDD3dP7GkN,post-grunge
spotify:track:2fDVMNQmFuMORDD3dP7GkN,rock
spotify:track:5J2q3trG8im2QFuNryTGVt,brazilian rock
spotify:track:5J2q3trG8im2QFuNryTGVt,nova mpb
spotify:track:5J2q3trG8im2QFuNryTGVt,pop rock brasileiro
spotify:track:61mWefnWQOLf90gepjOCb3,alternative metal
spotify:track:61mWefnWQOLf90gepjOCb3,nu metal
spotify:track:61mWefnWQOLf90gepjOCb3,rap metal
spotify:track:61mWefnWQOLf90gepjOCb3,rock
spotify:track:2DgQLg0xllUwBwAtMsYiNH,brazilian hip hop
spotify:track:2OL2Lxb1AuZ50W8kxJcTep,pop rap brasileiro
spotify:track:2OL2Lxb1AuZ50W8kxJcTep,rap baiano
spotify:track:2OL2Lxb1AuZ50W8kxJcTep,trap brasileiro
spotify:track:70dJEanFPdYuWZumkrnKeX,brazilian rock
spotify:track:70dJEanFPdYuWZumkrnKeX,hard rock brasileiro
spotify:track:70dJEanFPdYuWZumkrnKeX,rock alternativo brasileiro
spotify:track:70dJEanFPdYuWZumkrnKeX,rock nacional brasileiro
spotify:track:5JtuIHVfsYBFAVrHwjUddj,alternative metal
spotify:track:5JtuIHVfsYBFAVrHwjUddj,groove metal
spotify:track:5JtuIHVfsYBFAVrHwjUddj,hard rock
spotify:track:5JtuIHVfsYBFAVrHwjUddj,industrial metal
spotify:track:5JtuIHVfsYBFAVrHwjUddj,metal
spotify:track:5JtuIHVfsYBFAVrHwjUddj,nu metal
spotify:track:5JtuIHVfsYBFAVrHwjUddj,punk
spotify:track:0V5cvmTKsYmF5FmGGEAfmS,indie folk
spotify:track:0V5cvmTKsYmF5FmGGEAfmS,indie quebecois
spotify:track:6b7Zc5d3Yr34UAb2fPkVXi,disco
spotify:track:6b7Zc5d3Yr34UAb2fPkVXi,quiet storm
spotify:track:6b7Zc5d3Yr34UAb2fPkVXi,soul
spotify:track:3m63gmshs8BibkzMr0Gs2N,brazilian rock
spotify:track:3m63gmshs8BibkzMr0Gs2N,mpb
spotify:track:3m63gmshs8BibkzMr0Gs2N,rock nacional brasileiro
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,edm
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,pop
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,pop dance
spotify:track:74DrjifcTrDbmoGQBD8ScI,brazilian rock
spotify:track:74DrjifcTrDbmoGQBD8ScI,rock alternativo brasileiro
spotify:track:74DrjifcTrDbmoGQBD8ScI,rock baiano
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,classic rock
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,folk
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,folk rock
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,melancholia
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,mellow gold
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,rock
spotify:track:2LkaNhCrNVmcYgXJeLVmsw,soft rock
spotify:track:2okeBtFNVJ4n33NEV1RxBm,alternative metal
spotify:track:2okeBtFNVJ4n33NEV1RxBm,melodic metalcore
spotify:track:2okeBtFNVJ4n33NEV1RxBm,nu metal
spotify:track:2okeBtFNVJ4n33NEV1RxBm,pop punk
spotify:track:2okeBtFNVJ4n33NEV1RxBm,post-grunge
spotify:track:2okeBtFNVJ4n33NEV1RxBm,uk metalcore
spotify:track:2okeBtFNVJ4n33NEV1RxBm,welsh metal
spotify:track:6C0v3MKZdb8TQMlcCIupd7,classic soul
spotify:track:6C0v3MKZdb8TQMlcCIupd7,memphis soul
spotify:track:6C0v3MKZdb8TQMlcCIupd7,soul
spotify:track:6C0v3MKZdb8TQMlcCIupd7,southern soul
spotify:track:574kOxVgCcy70oq623rvPE,brazilian edm
spotify:track:6gQiCktnlqLqZ0HIpIvbtM,neo mellow
spotify:track:5d3NlNeGMJRu8EIT0X559G,circuit
spotify:track:5d3NlNeGMJRu8EIT0X559G,dutch house
spotify:track:5d3NlNeGMJRu8EIT0X559G,electro house
spotify:track:5d3NlNeGMJRu8EIT0X559G,progressive electro house
spotify:track:4eizL2CPEy9lFUZw7HBKrk,brazilian hip hop
spotify:track:4eizL2CPEy9lFUZw7HBKrk,brazilian reggae
spotify:track:4eizL2CPEy9lFUZw7HBKrk,pop rap brasileiro
spotify:track:4eizL2CPEy9lFUZw7HBKrk,r&b brasileiro
spotify:track:0frcOeqyezj9JMNfzK5ddq,socal indie
spotify:track:3dX9FF5Q8Z4QpEprMQ7ejP,mpb
spotify:track:3dX9FF5Q8Z4QpEprMQ7ejP,rock nacional brasileiro
spotify:track:4ODWgs1CVAZKDbryEodjiz,adult standards
spotify:track:4ODWgs1CVAZKDbryEodjiz,easy listening
spotify:track:4ODWgs1CVAZKDbryEodjiz,lounge
spotify:track:4iVTSRiJAA18d3QglhyJ6Q,new wave
spotify:track:4iVTSRiJAA18d3QglhyJ6Q,permanent wave
spotify:track:4iVTSRiJAA18d3QglhyJ6Q,rock
spotify:track:4iVTSRiJAA18d3QglhyJ6Q,uk post-punk
spotify:track:1LcnI3qjdUdJTml8zX1bAN,brazilian punk
spotify:track:1LcnI3qjdUdJTml8zX1bAN,brazilian rock
spotify:track:1LcnI3qjdUdJTml8zX1bAN,cowpunk
spotify:track:1LcnI3qjdUdJTml8zX1bAN,hard rock brasileiro
spotify:track:3U7H63zKWLjOuFZJUmTowp,glam metal
spotify:track:3U7H63zKWLjOuFZJUmTowp,rock
spotify:track:30bqVoKjX479ab90a8Pafp,cloud rap
spotify:track:30bqVoKjX479ab90a8Pafp,emo rap
spotify:track:30bqVoKjX479ab90a8Pafp,lgbtq+ hip hop
spotify:track:0CgMeXQiNYJxPVQ2EMJxdL,funk carioca
spotify:track:0CgMeXQiNYJxPVQ2EMJxdL,funk paulista
spotify:track:0CgMeXQiNYJxPVQ2EMJxdL,funk rj
spotify:track:0CgMeXQiNYJxPVQ2EMJxdL,sertanejo universitario
spotify:track:1PSTFMC613e7DYw4d3srE6,lo-fi beats
spotify:track:14XWXWv5FoCbFzLksawpEe,acid rock
spotify:track:14XWXWv5FoCbFzLksawpEe,album rock
spotify:track:14XWXWv5FoCbFzLksawpEe,classic rock
spotify:track:14XWXWv5FoCbFzLksawpEe,hard rock
spotify:track:14XWXWv5FoCbFzLksawpEe,psychedelic rock
spotify:track:14XWXWv5FoCbFzLksawpEe,rock
spotify:track:3F0mcxksBp33QrL6oyjvLN,chillhop
spotify:track:3F0mcxksBp33QrL6oyjvLN,japanese chillhop
spotify:track:3F0mcxksBp33QrL6oyjvLN,lo-fi beats
spotify:track:6or1bKJiZ06IlK0vFvY75k,detroit hip hop
spotify:track:6or1bKJiZ06IlK0vFvY75k,hip hop
spotify:track:6or1bKJiZ06IlK0vFvY75k,rap
spotify:track:4nTrxp4aH0g2yLVPkFmljF,boom bap brasileiro
spotify:track:4nTrxp4aH0g2yLVPkFmljF,brazilian hip hop
spotify:track:2igwFfvr1OAGX9SKDCPBwO,east coast hip hop
spotify:track:2igwFfvr1OAGX9SKDCPBwO,gangster rap
spotify:track:2igwFfvr1OAGX9SKDCPBwO,hip hop
spotify:track:2igwFfvr1OAGX9SKDCPBwO,pop rap
spotify:track:2igwFfvr1OAGX9SKDCPBwO,rap
spotify:track:2BcvvHttiZRvguFM4hR398,album rock
spotify:track:2BcvvHttiZRvguFM4hR398,blues rock
spotify:track:2BcvvHttiZRvguFM4hR398,british blues
spotify:track:2BcvvHttiZRvguFM4hR398,classic rock
spotify:track:2BcvvHttiZRvguFM4hR398,folk rock
spotify:track:2BcvvHttiZRvguFM4hR398,hard rock
spotify:track:2BcvvHttiZRvguFM4hR398,psychedelic rock
spotify:track:2BcvvHttiZRvguFM4hR398,rock
spotify:track:2BcvvHttiZRvguFM4hR398,singer-songwriter
spotify:track:2BcvvHttiZRvguFM4hR398,supergroup
spotify:track:4JuJ9ewGWWGy0U3URuXOSI,classic rock
spotify:track:4JuJ9ewGWWGy0U3URuXOSI,country rock
spotify:track:4JuJ9ewGWWGy0U3URuXOSI,rock
spotify:track:4JuJ9ewGWWGy0U3URuXOSI,southern rock
spotify:track:4JuJ9ewGWWGy0U3URuXOSI,swamp rock
spotify:track:04MNKrAnzrHDUzuXAtNoLr,glam metal
spotify:track:04MNKrAnzrHDUzuXAtNoLr,hard rock
spotify:track:04MNKrAnzrHDUzuXAtNoLr,rock
spotify:track:2GThBgzZoZfz0lx1JjBwfe,toronto indie
spotify:track:2grjqo0Frpf2okIBiifQKs,disco
spotify:track:2grjqo0Frpf2okIBiifQKs,funk
spotify:track:2grjqo0Frpf2okIBiifQKs,jazz funk
spotify:track:2grjqo0Frpf2okIBiifQKs,soul
spotify:track:09ekFvUyVebZ1kyYt6oz28,brazilian hip hop
spotify:track:09ekFvUyVebZ1kyYt6oz28,brazilian reggae
spotify:track:09ekFvUyVebZ1kyYt6oz28,brazilian rock
spotify:track:09ekFvUyVebZ1kyYt6oz28,latin alternative
spotify:track:09ekFvUyVebZ1kyYt6oz28,rock nacional brasileiro
spotify:track:6U83rvafROb45BzkgVy6ye,novelty
spotify:track:4eYmH4Sh0ibdU9nmnbu7aM,pop rap
spotify:track:0LfiPrJKVVpnkXUcLLMzOo,album rock
spotify:track:0LfiPrJKVVpnkXUcLLMzOo,classic rock
spotify:track:0LfiPrJKVVpnkXUcLLMzOo,folk rock
spotify:track:0LfiPrJKVVpnkXUcLLMzOo,heartland rock
spotify:track:0LfiPrJKVVpnkXUcLLMzOo,mellow gold
spotify:track:0LfiPrJKVVpnkXUcLLMzOo,soft rock
spotify:track:77loZpT5Y5PRP1S451P9Yz,alternative metal
spotify:track:77loZpT5Y5PRP1S451P9Yz,funk metal
spotify:track:77loZpT5Y5PRP1S451P9Yz,nu metal
spotify:track:77loZpT5Y5PRP1S451P9Yz,pop rock
spotify:track:77loZpT5Y5PRP1S451P9Yz,post-grunge
spotify:track:6zeE5tKyr8Nu882DQhhSQI,album rock
spotify:track:6zeE5tKyr8Nu882DQhhSQI,classic rock
spotify:track:6zeE5tKyr8Nu882DQhhSQI,hard rock
spotify:track:6zeE5tKyr8Nu882DQhhSQI,heartland rock
spotify:track:6zeE5tKyr8Nu882DQhhSQI,mellow gold
spotify:track:6zeE5tKyr8Nu882DQhhSQI,progressive rock
spotify:track:6zeE5tKyr8Nu882DQhhSQI,rock
spotify:track:6zeE5tKyr8Nu882DQhhSQI,soft rock
spotify:track:1oElrEqygcsu2QrOlTzEIq,lo-fi rap
spotify:track:7ntXYU4zboGuq5ZunkrXRB,pop rock
spotify:track:7ntXYU4zboGuq5ZunkrXRB,post-grunge
spotify:track:2xqnw5xBP26MnG6iMK8sXg,brazilian edm
spotify:track:3xmYT6XDkqMpQCA8hHdKip,brazilian hip hop
spotify:track:7ppLcVgxpoWAhAa2c0CN3b,funk carioca
spotify:track:7ppLcVgxpoWAhAa2c0CN3b,pop nacional
spotify:track:3qT4bUD1MaWpGrTwcvguhb,album rock
spotify:track:3qT4bUD1MaWpGrTwcvguhb,classic rock
spotify:track:3qT4bUD1MaWpGrTwcvguhb,hard rock
spotify:track:3qT4bUD1MaWpGrTwcvguhb,rock
spotify:track:53pxuVsqLU3rIADN6T2COo,japanese chillhop
spotify:track:53pxuVsqLU3rIADN6T2COo,lo-fi rap
spotify:track:0aASUtDb1N96NJDwmWj5Gf,brazilian rock
spotify:track:0aASUtDb1N96NJDwmWj5Gf,mpb
spotify:track:0aASUtDb1N96NJDwmWj5Gf,nova mpb
spotify:track:0aASUtDb1N96NJDwmWj5Gf,rock alternativo brasileiro
spotify:track:0aASUtDb1N96NJDwmWj5Gf,rock nacional brasileiro
spotify:track:4RVwu0g32PAqgUiJoXsdF8,art pop
spotify:track:4RVwu0g32PAqgUiJoXsdF8,electropop
spotify:track:4RVwu0g32PAqgUiJoXsdF8,pop
spotify:track:4OgX9LMSQS6bplwXLY18LL,brazilian hip hop
spotify:track:4OgX9LMSQS6bplwXLY18LL,pop rap brasileiro
spotify:track:0phVJ23NJlruwtt1XCm94N,agronejo
spotify:track:0phVJ23NJlruwtt1XCm94N,arrocha
spotify:track:0phVJ23NJlruwtt1XCm94N,sertanejo
spotify:track:0phVJ23NJlruwtt1XCm94N,sertanejo universitario
spotify:track:3I05foFixB2sSZvV5Ppty8,modern rock
spotify:track:3I05foFixB2sSZvV5Ppty8,pop
spotify:track:3I05foFixB2sSZvV5Ppty8,rock
spotify:track:57460SJgSpCXaRJ9YIYHxy,blues
spotify:track:57460SJgSpCXaRJ9YIYHxy,blues rock
spotify:track:57460SJgSpCXaRJ9YIYHxy,classic rock
spotify:track:57460SJgSpCXaRJ9YIYHxy,country rock
spotify:track:57460SJgSpCXaRJ9YIYHxy,electric blues
spotify:track:57460SJgSpCXaRJ9YIYHxy,folk rock
spotify:track:57460SJgSpCXaRJ9YIYHxy,psychedelic rock
spotify:track:0JsI2lFXSpCHCarqE5RIid,brazilian rock
spotify:track:0JsI2lFXSpCHCarqE5RIid,rock brasiliense
spotify:track:7GJ572zvnU94VZVrj5XRtb,canadian indie
spotify:track:7GJ572zvnU94VZVrj5XRtb,folk-pop
spotify:track:7GJ572zvnU94VZVrj5XRtb,stomp and holler
spotify:track:10yBOZi6cIDeJOlb7Pbz1J,ambeat
spotify:track:51jnsY9d9kPv1sGw82L6Fe,album rock
spotify:track:51jnsY9d9kPv1sGw82L6Fe,british invasion
spotify:track:51jnsY9d9kPv1sGw82L6Fe,classic rock
spotify:track:51jnsY9d9kPv1sGw82L6Fe,rock
spotify:track:6ooluO7DiEhI1zmK94nRCM,alternative rock
spotify:track:6ooluO7DiEhI1zmK94nRCM,dance rock
spotify:track:6ooluO7DiEhI1zmK94nRCM,indie rock
spotify:track:6ooluO7DiEhI1zmK94nRCM,modern rock
spotify:track:6ooluO7DiEhI1zmK94nRCM,rock
spotify:track:6ooluO7DiEhI1zmK94nRCM,scottish rock
spotify:track:0gutAUZDhQ7jHEOLaez0JL,classic soul
spotify:track:0gutAUZDhQ7jHEOLaez0JL,jazz blues
spotify:track:0gutAUZDhQ7jHEOLaez0JL,piano blues
spotify:track:0gutAUZDhQ7jHEOLaez0JL,soul
spotify:track:0gutAUZDhQ7jHEOLaez0JL,soul blues
spotify:track:0gutAUZDhQ7jHEOLaez0JL,vocal jazz
spotify:track:7kIU2N7KyDpyFTmgunErGL,nova mpb
spotify:track:0tZkVZ9DeAa0MNK2gY5NtV,filter house
spotify:track:0tZkVZ9DeAa0MNK2gY5NtV,nu disco
spotify:track:2R7858bg0GHuBBxjTyOL7N,new romantic
spotify:track:2R7858bg0GHuBBxjTyOL7N,new wave
spotify:track:2R7858bg0GHuBBxjTyOL7N,new wave pop
spotify:track:2R7858bg0GHuBBxjTyOL7N,soft rock
spotify:track:2R7858bg0GHuBBxjTyOL7N,synthpop
spotify:track:10AQNo9mBJipXAGJR1J77x,lo-fi rap
spotify:track:46iI0binWzpkEJgIWTYUBR,alternative rock
spotify:track:46iI0binWzpkEJgIWTYUBR,blues rock
spotify:track:46iI0binWzpkEJgIWTYUBR,garage rock
spotify:track:46iI0binWzpkEJgIWTYUBR,indie rock
spotify:track:46iI0binWzpkEJgIWTYUBR,indietronica
spotify:track:46iI0binWzpkEJgIWTYUBR,modern blues rock
spotify:track:46iI0binWzpkEJgIWTYUBR,modern rock
spotify:track:46iI0binWzpkEJgIWTYUBR,punk blues
spotify:track:46iI0binWzpkEJgIWTYUBR,rock
